Filename	Label
20230422_OLEP08_1000ng_A_240k_500AGC_3Th_5ms_24min_nce25_01	1000
20230422_OLEP08_1000ng_A_240k_500AGC_3Th_5ms_24min_nce25_02	1000
20230422_OLEP08_1000ng_A_240k_500AGC_3Th_5ms_24min_nce25_03	1000
20230422_OLEP08_1000ng_A_240k_500AGC_3Th_5ms_24min_nce25_04	1000
20230422_OLEP08_1000ng_A_240k_500AGC_3Th_5ms_24min_nce25_05	1000
20230422_OLEP08_100ng_E_240k_500AGC_3Th_5ms_24min_nce25_01	100
20230422_OLEP08_100ng_E_240k_500AGC_3Th_5ms_24min_nce25_02	100
20230422_OLEP08_100ng_E_240k_500AGC_3Th_5ms_24min_nce25_03	100
20230422_OLEP08_100ng_E_240k_500AGC_3Th_5ms_24min_nce25_04	100
20230422_OLEP08_100ng_E_240k_500AGC_3Th_5ms_24min_nce25_05	100
20230422_OLEP08_12p5ng_H_240k_500AGC_3Th_5ms_24min_nce25_01	12.5
20230422_OLEP08_12p5ng_H_240k_500AGC_3Th_5ms_24min_nce25_02	12.5
20230422_OLEP08_12p5ng_H_240k_500AGC_3Th_5ms_24min_nce25_03	12.5
20230422_OLEP08_12p5ng_H_240k_500AGC_3Th_5ms_24min_nce25_04	12.5
20230422_OLEP08_12p5ng_H_240k_500AGC_3Th_5ms_24min_nce25_05	12.5
20230422_OLEP08_200ng_D_240k_500AGC_3Th_5ms_24min_nce25_01	200
20230422_OLEP08_200ng_D_240k_500AGC_3Th_5ms_24min_nce25_02	200
20230422_OLEP08_200ng_D_240k_500AGC_3Th_5ms_24min_nce25_03	200
20230422_OLEP08_200ng_D_240k_500AGC_3Th_5ms_24min_nce25_04	200
20230422_OLEP08_200ng_D_240k_500AGC_3Th_5ms_24min_nce25_05	200
20230422_OLEP08_25ng_G_240k_500AGC_3Th_5ms_24min_nce25_01	25
20230422_OLEP08_25ng_G_240k_500AGC_3Th_5ms_24min_nce25_02	25
20230422_OLEP08_25ng_G_240k_500AGC_3Th_5ms_24min_nce25_03	25
20230422_OLEP08_25ng_G_240k_500AGC_3Th_5ms_24min_nce25_04	25
20230422_OLEP08_25ng_G_240k_500AGC_3Th_5ms_24min_nce25_05	25
20230422_OLEP08_300ng_C_240k_500AGC_3Th_5ms_24min_nce25_01	300
20230422_OLEP08_300ng_C_240k_500AGC_3Th_5ms_24min_nce25_02	300
20230422_OLEP08_300ng_C_240k_500AGC_3Th_5ms_24min_nce25_03	300
20230422_OLEP08_300ng_C_240k_500AGC_3Th_5ms_24min_nce25_04	300
20230422_OLEP08_300ng_C_240k_500AGC_3Th_5ms_24min_nce25_05	300
20230422_OLEP08_400ng_B_240k_500AGC_3Th_5ms_24min_nce25_01	400
20230422_OLEP08_400ng_B_240k_500AGC_3Th_5ms_24min_nce25_02	400
20230422_OLEP08_400ng_B_240k_500AGC_3Th_5ms_24min_nce25_03	400
20230422_OLEP08_400ng_B_240k_500AGC_3Th_5ms_24min_nce25_04	400
20230422_OLEP08_400ng_B_240k_500AGC_3Th_5ms_24min_nce25_05	400
20230422_OLEP08_500ng_A_240k_500AGC_3Th_5ms_24min_nce25_01	500
20230422_OLEP08_500ng_A_240k_500AGC_3Th_5ms_24min_nce25_02	500
20230422_OLEP08_500ng_A_240k_500AGC_3Th_5ms_24min_nce25_03	500
20230422_OLEP08_500ng_A_240k_500AGC_3Th_5ms_24min_nce25_04	500
20230422_OLEP08_500ng_A_240k_500AGC_3Th_5ms_24min_nce25_05	500
20230422_OLEP08_50ng_F_240k_500AGC_3Th_5ms_24min_nce25_01	50
20230422_OLEP08_50ng_F_240k_500AGC_3Th_5ms_24min_nce25_02	50
20230422_OLEP08_50ng_F_240k_500AGC_3Th_5ms_24min_nce25_03	50
20230422_OLEP08_50ng_F_240k_500AGC_3Th_5ms_24min_nce25_04	50
20230422_OLEP08_50ng_F_240k_500AGC_3Th_5ms_24min_nce25_05	50
20230422_OLEP08_600ng_C_240k_500AGC_3Th_5ms_24min_nce25_01	600
20230422_OLEP08_600ng_C_240k_500AGC_3Th_5ms_24min_nce25_02	600
20230422_OLEP08_600ng_C_240k_500AGC_3Th_5ms_24min_nce25_03	600
20230422_OLEP08_600ng_C_240k_500AGC_3Th_5ms_24min_nce25_04	600
20230422_OLEP08_600ng_C_240k_500AGC_3Th_5ms_24min_nce25_05	600
20230422_OLEP08_800ng_B_240k_500AGC_3Th_5ms_24min_nce25_01	800
20230422_OLEP08_800ng_B_240k_500AGC_3Th_5ms_24min_nce25_02	800
20230422_OLEP08_800ng_B_240k_500AGC_3Th_5ms_24min_nce25_03	800
20230422_OLEP08_800ng_B_240k_500AGC_3Th_5ms_24min_nce25_04	800
20230422_OLEP08_800ng_B_240k_500AGC_3Th_5ms_24min_nce25_05	800
